terminals,population_size,max_depth,experssion,eval,num_of_gen,num_of_runs
"['x', 1]",150,2,((((1 - (1 - 1)) - (x + x)) + (((1 - x) / 1) + ((1 * 1) + (1 + 1)))) + (((1 - (x - 1)) - (x + x)) + (((1 - x) / 1) + ((x * x) + (1 + 1))))),35.94674664753664,49,3
"['x', 1]",150,2,(((1 + 1) - x) + (((1 + 1) - x) + (((1 + 1) - x) + (((1 + 1) - x) + (((x + 1) - x) + ((((1 - 1) * x) + (x / x)) + ((((x - 1) * x) + (x / x)) + (1 - (x * 1))))))))),5.930057923791374,58,4
"['x', 1, 2]",150,2,(((2 + 1) * (1 - (x - 2))) + (((2 + 1) - (x - 2)) + ((x * x) - (x * (1 * 2))))),0.0008798868003556782,12,1
"['x', 1, 2]",150,2,((((x - 1) * (x * 1)) + (((2 + 1) + (2 / 1)) * (2 - x))) + (((1 - x) + (2 - x)) + (x + x))),1.528444414576885,36,2
"['x', 1, 2]",150,2,((((2 - x) * (2 * 2)) + (x * (x - 2))) + (((2 - x) + x) * (2 + 1))),0.0009094177126551458,15,3
"['x', 1, 2]",150,2,((((x * (x - 2)) + (2 - (x / 2))) + ((2 + (2 * 2)) - (x + (2 * x)))) + (2 + (2 * 2))),3.0819602358734577,39,4
"['x', 1, 2, 3]",150,2,((((2 - x) / 2) * (((3 - 2) - (1 + x)) * (1 + 2))) + ((3 - x) * (1 + 2))),21.58284503813607,35,1
"['x', 1, 2, 3]",150,2,((((x - 2) * (x - 3)) - ((x - 2) / 1)) + (2 * 3)),0.0009094177126551488,10,2
"['x', 1, 2, 3]",150,2,((((1 - x) + (1 * 3)) * (2 - x)) + (3 + 3)),0.0009094177126551435,8,3
"['x', 1, 2, 3]",150,2,(((((2 * 2) * 3) - (x * 3)) + ((x - x) + 2)) + ((x - 3) * x)),0.0009094177126551413,12,4
"['x', 1, 2, 3, 4]",150,2,(3 + (((x - 2) * (x - 4)) + 3)),0.000879886800355678,14,1
"['x', 1, 2, 3, 4]",150,2,((3 * ((2 - x) + (3 * 1))) + (((x - 3) * x) + 1)),5.915923704094056,31,2
"['x', 1, 2, 3, 4]",150,2,(((((1 / 2) + 4) - (x * 2)) - (x - 3)) + (((x * x) + ((3 - x) + (2 + 3))) - (x * 2))),3.44000412873981,28,3
"['x', 1, 2, 3, 4]",150,2,(((x * x) - (x * 2)) + ((3 - x) * 4)),5.913714161843382,37,4
"['x', 1]",200,2,(((1 - x) + (1 + 1)) + (((1 - x) + (1 + 1)) + (((x + x) * (x - 1)) - (x + x)))),82.41673355884386,41,1
"['x', 1]",200,2,((((x * x) + (1 - x)) - (x + x)) + ((((x * x) + (1 - x)) - (x + x)) + (1 + 1))),86.32272461392175,36,2
"['x', 1]",200,2,(((((x * x) - (x - 1)) - (x - 1)) + ((((x * x) - (x - 1)) - (x - 1)) - (1 * x))) + (((x * 1) - (x - 1)) - (x - 1))),82.41673355884386,46,3
"['x', 1]",200,2,((((x / x) + (1 - x)) + (((x - 1) * (x + x)) - x)) + ((1 - x) - x)),92.74246980873149,43,4
"['x', 1, 2]",200,2,(((((x * 1) * x) - (x / 1)) + (2 - (x + x))) + (((((1 * 2) - (x - 2)) * (1 + 1)) * (1 * 2)) + (((1 * 1) * (x - 1)) - 2))),1.4799170339051149,38,1
"['x', 1, 2]",200,2,((2 - x) * (((1 + (1 - x)) + (2 * 1)) - ((x - 2) / (1 + 2)))),36.378769487425956,26,2
"['x', 1, 2]",200,2,((((2 - x) * ((2 * 2) - x)) + (1 + 2)) + (1 + 2)),0.0009094177126551434,18,3
"['x', 1, 2]",200,2,(((((2 * (1 - x)) + (x * x)) + ((x - x) + ((1 - x) + (1 / 2)))) - (x - 1)) + (((2 + 2) - (x - 1)) * (2 * 1))),0.39294962909117215,16,4
"['x', 1, 2, 3]",200,2,(((3 * 2) * (3 - x)) + (x * x)),23.658845613724484,31,1
"['x', 1, 2, 3]",200,2,(((3 + 3) * ((3 / 2) - x)) + ((x * x) + (2 + 2))),1.4788122627797784,30,2
