terminals,population_size,max_depth,experssion,eval,num_of_gen,num_of_runs
"['x', 'x1', 'x2', 'x3']",200,3,((((x1-98.0)/9999531.0) * ((8.845305877687027 * ((7.417669635043698 / ((x3-0.0)/10.0)) + (((x3-0.0)/10.0) - (((x3-0.0)/10.0) * ((x3-0.0)/10.0))))) * ((x2-188.0)/9999357.0))) / ((x3-0.0)/10.0)),2.1217103658381573,50,2
"['x', 'x1', 'x2', 'x3']",250,3,((((x2-188.0)/9999357.0) + ((3.609909621733113 + ((((x1-98.0)/9999531.0) + (9.759918665069995 / ((x3-0.0)/10.0))) - ((0.8900652553148025 + (((x3-0.0)/10.0) * (((x3-0.0)/10.0) + ((x1-98.0)/9999531.0)))) / (((x1-98.0)/9999531.0) / ((x1-98.0)/9999531.0))))) - ((x1-98.0)/9999531.0))) * (((x1-98.0)/9999531.0) * ((6.055709060831003 / ((x3-0.0)/10.0)) * ((x2-188.0)/9999357.0)))),13.702787653001089,50,1
"['x', 'x1', 'x2', 'x3']",250,3,(((((x2-188.0)/9999357.0) / ((((x3-0.0)/10.0) / 3.028808433695046) * ((x3-0.0)/10.0))) / 0.0477519999440712) * ((x1-98.0)/9999531.0)),12.765153197063487,50,2
"['x', 'x1', 'x2', 'x3']",300,3,(((9.309074340408086 * (((x1-98.0)/9999531.0) / ((x3-0.0)/10.0))) + (6.094935617531524 * (9.309074340408086 * (((x1-98.0)/9999531.0) / ((x3-0.0)/10.0))))) / (((x3-0.0)/10.0) / ((x2-188.0)/9999357.0))),3.0885335567070045,50,1
"['x', 'x1', 'x2', 'x3']",300,3,(((x1-98.0)/9999531.0) * ((((8.266394927805521 + (((x2-188.0)/9999357.0) / ((8.266394927805521 + (((x2-188.0)/9999357.0) + (((2.6722192995592584 - ((x3-0.0)/10.0)) - (((x2-188.0)/9999357.0) - 1.4007431757635813)) / (5.844084798264669 * ((x1-98.0)/9999531.0))))) + ((((x3-0.0)/10.0) * 0.16863245300762442) * ((x3-0.0)/10.0))))) + 3.663058571345983) - ((x2-188.0)/9999357.0)) * ((((x2-188.0)/9999357.0) / ((((x3-0.0)/10.0) * 0.16863245300762442) * ((x3-0.0)/10.0))) - (((x3-0.0)/10.0) * (((x1-98.0)/9999531.0) * ((((x3-0.0)/10.0) / ((((x2-188.0)/9999357.0) + 4.76252072195164) / ((x2-188.0)/9999357.0))) * ((x3-0.0)/10.0))))))),8.566270909297877,50,2
"['x', 'x1', 'x2', 'x3']",50,4,((((x2-188.0)/9999357.0) * (6.0193650833268775 * 5.956604893353905)) * ((x1-98.0)/9999531.0)),196.74998029291012,42,1
"['x', 'x1', 'x2', 'x3']",50,4,(0.9415631794975843 / 4.383635649999526),214.643825812545,34,2
"['x', 'x1', 'x2', 'x3']",100,4,(((9.183013544585798 * ((x1-98.0)/9999531.0)) / ((((x3-0.0)/10.0) / (7.232490643740327 + ((((x3-0.0)/10.0) * ((x1-98.0)/9999531.0)) / 9.183013544585798))) / ((x2-188.0)/9999357.0))) / ((x3-0.0)/10.0)),1.2394541102714476,50,1
"['x', 'x1', 'x2', 'x3']",100,4,0.1610841939476515,203.91459637451854,22,2
"['x', 'x1', 'x2', 'x3']",150,4,(((x1-98.0)/9999531.0) / (((x3-0.0)/10.0) / (((x2-188.0)/9999357.0) * ((((((x3-0.0)/10.0) / (((x2-188.0)/9999357.0) * ((((((x2-188.0)/9999357.0) - ((x2-188.0)/9999357.0)) - ((x3-0.0)/10.0)) / ((x2-188.0)/9999357.0)) * ((3.9471807427669683 - (0.1610920477197486 * ((((x2-188.0)/9999357.0) * 0.1610920477197486) - ((((x1-98.0)/9999531.0) / (((x3-0.0)/10.0) - ((x2-188.0)/9999357.0))) * 3.927591778805113)))) * 3.927591778805113)))) + 9.61028058768485) / (((x3-0.0)/10.0) * 3.2615117445634025)) * (5.834183747420294 * 3.927591778805113))))),6.613455142589554,50,1
